judge,scale_a,scale_b,mean_a,mean_b,delta,cohens_d,p_adj_BH,sig
Claude-Sonnet,1-3,1-5,0.567,0.558,0.008,0.046,0.4366,ns
Claude-Sonnet,1-3,1-10,0.567,0.565,0.002,0.011,0.0443,*
Claude-Sonnet,1-5,1-10,0.558,0.565,-0.006,-0.05,0.1453,ns
DeepSeek-V3,1-3,1-5,0.542,0.575,-0.033,-0.238,0.0271,*
DeepSeek-V3,1-3,1-10,0.542,0.67,-0.129,-1.118,0.0,***
DeepSeek-V3,1-5,1-10,0.575,0.67,-0.095,-0.824,0.0,***
GPT-4o-mini,1-3,1-5,0.5,0.646,-0.146,-0.858,0.0,***
GPT-4o-mini,1-3,1-10,0.5,0.631,-0.131,-0.898,0.0,***
GPT-4o-mini,1-5,1-10,0.646,0.631,0.014,0.112,0.9267,ns
Llama-3.3-70B,1-3,1-5,0.508,0.725,-0.217,-2.578,0.0,***
Llama-3.3-70B,1-3,1-10,0.508,0.707,-0.199,-2.604,0.0,***
Llama-3.3-70B,1-5,1-10,0.725,0.707,0.018,0.188,0.3195,ns
Qwen3-32B,1-3,1-5,0.692,0.667,0.025,0.13,0.3067,ns
Qwen3-32B,1-3,1-10,0.692,0.659,0.032,0.182,0.4736,ns
Qwen3-32B,1-5,1-10,0.667,0.659,0.007,0.079,0.4736,ns
