judge,extractor_a,extractor_b,mean_a,mean_b,delta,p_raw,p_adj_BH,sig
DeepSeek-V3-685B,DeepSeek-V3,Kimi-K2,2.8,2.867,-0.067,0.5064,0.6076,ns
DeepSeek-V3-685B,DeepSeek-V3,Llama-3.3-70B,2.8,2.867,-0.067,0.5064,0.6076,ns
DeepSeek-V3-685B,DeepSeek-V3,Gemma-3-27B,2.8,2.733,0.067,0.5064,0.6076,ns
DeepSeek-V3-685B,Kimi-K2,Llama-3.3-70B,2.867,2.867,0.0,1.0,1.0,ns
DeepSeek-V3-685B,Kimi-K2,Gemma-3-27B,2.867,2.733,0.133,0.1838,0.5515,ns
DeepSeek-V3-685B,Llama-3.3-70B,Gemma-3-27B,2.867,2.733,0.133,0.1838,0.5515,ns
Kimi-K2-1T,DeepSeek-V3,Kimi-K2,2.5,2.4,0.1,0.4094,0.614,ns
Kimi-K2-1T,DeepSeek-V3,Llama-3.3-70B,2.5,2.267,0.233,0.0878,0.5266,ns
Kimi-K2-1T,DeepSeek-V3,Gemma-3-27B,2.5,2.3,0.2,0.2017,0.605,ns
Kimi-K2-1T,Kimi-K2,Llama-3.3-70B,2.4,2.267,0.133,0.3776,0.614,ns
Kimi-K2-1T,Kimi-K2,Gemma-3-27B,2.4,2.3,0.1,0.6514,0.6668,ns
Kimi-K2-1T,Llama-3.3-70B,Gemma-3-27B,2.267,2.3,-0.033,0.6668,0.6668,ns
Llama-3.3-70B,DeepSeek-V3,Kimi-K2,2.433,2.533,-0.1,0.4389,0.7964,ns
Llama-3.3-70B,DeepSeek-V3,Llama-3.3-70B,2.433,2.4,0.033,0.7964,0.7964,ns
Llama-3.3-70B,DeepSeek-V3,Gemma-3-27B,2.433,2.467,-0.033,0.7964,0.7964,ns
Llama-3.3-70B,Kimi-K2,Llama-3.3-70B,2.533,2.4,0.133,0.302,0.7964,ns
Llama-3.3-70B,Kimi-K2,Gemma-3-27B,2.533,2.467,0.067,0.6058,0.7964,ns
Llama-3.3-70B,Llama-3.3-70B,Gemma-3-27B,2.4,2.467,-0.067,0.6058,0.7964,ns
Gemma-3-27B,DeepSeek-V3,Kimi-K2,2.5,2.633,-0.133,0.3186,0.9088,ns
Gemma-3-27B,DeepSeek-V3,Llama-3.3-70B,2.5,2.533,-0.033,0.8031,0.9637,ns
Gemma-3-27B,DeepSeek-V3,Gemma-3-27B,2.5,2.533,-0.033,0.8031,0.9637,ns
Gemma-3-27B,Kimi-K2,Llama-3.3-70B,2.633,2.533,0.1,0.4544,0.9088,ns
Gemma-3-27B,Kimi-K2,Gemma-3-27B,2.633,2.533,0.1,0.4544,0.9088,ns
Gemma-3-27B,Llama-3.3-70B,Gemma-3-27B,2.533,2.533,0.0,1.0,1.0,ns
