extractor,judge_a,judge_b,mean_a,mean_b,delta,p_raw,p_adj_BH,sig
DeepSeek-V3,DeepSeek-V3-685B,Kimi-K2-1T,2.821,2.5,0.321,0.0296,0.0533,ns
DeepSeek-V3,DeepSeek-V3-685B,Llama-3.3-70B,2.821,2.464,0.357,0.011,0.0235,*
DeepSeek-V3,DeepSeek-V3-685B,Gemma-3-27B,2.821,2.5,0.321,0.0296,0.0533,ns
DeepSeek-V3,DeepSeek-V3-685B,Qwen3-32B,2.821,2.75,0.071,0.6109,0.743,ns
DeepSeek-V3,DeepSeek-V3-685B,Llama-3.1-8B,2.821,2.107,0.714,0.0,0.0,***
DeepSeek-V3,DeepSeek-V3-685B,Llama-3.2-3B,2.821,2.143,0.679,0.0,0.0,***
DeepSeek-V3,DeepSeek-V3-685B,Qwen2.5-7B,2.821,1.929,0.893,0.0,0.0,***
DeepSeek-V3,DeepSeek-V3-685B,Claude-Sonnet-4.6,2.821,2.679,0.143,0.3088,0.4088,ns
DeepSeek-V3,DeepSeek-V3-685B,GPT-4.1,2.821,2.464,0.357,0.011,0.0235,*
DeepSeek-V3,Kimi-K2-1T,Llama-3.3-70B,2.5,2.464,0.036,0.7122,0.763,ns
DeepSeek-V3,Kimi-K2-1T,Gemma-3-27B,2.5,2.5,0.0,1.0,1.0,ns
DeepSeek-V3,Kimi-K2-1T,Qwen3-32B,2.5,2.75,-0.25,0.0956,0.1484,ns
DeepSeek-V3,Kimi-K2-1T,Llama-3.1-8B,2.5,2.107,0.393,0.0036,0.0107,*
DeepSeek-V3,Kimi-K2-1T,Llama-3.2-3B,2.5,2.143,0.357,0.0078,0.0208,*
DeepSeek-V3,Kimi-K2-1T,Qwen2.5-7B,2.5,1.929,0.571,0.0007,0.0029,**
DeepSeek-V3,Kimi-K2-1T,Claude-Sonnet-4.6,2.5,2.679,-0.179,0.2471,0.3369,ns
DeepSeek-V3,Kimi-K2-1T,GPT-4.1,2.5,2.464,0.036,0.7122,0.763,ns
DeepSeek-V3,Llama-3.3-70B,Gemma-3-27B,2.464,2.5,-0.036,0.7122,0.763,ns
DeepSeek-V3,Llama-3.3-70B,Qwen3-32B,2.464,2.75,-0.286,0.0418,0.0697,ns
DeepSeek-V3,Llama-3.3-70B,Llama-3.1-8B,2.464,2.107,0.357,0.011,0.0235,*
DeepSeek-V3,Llama-3.3-70B,Llama-3.2-3B,2.464,2.143,0.321,0.022,0.0431,*
DeepSeek-V3,Llama-3.3-70B,Qwen2.5-7B,2.464,1.929,0.536,0.0026,0.0089,**
DeepSeek-V3,Llama-3.3-70B,Claude-Sonnet-4.6,2.464,2.679,-0.214,0.1269,0.1842,ns
DeepSeek-V3,Llama-3.3-70B,GPT-4.1,2.464,2.464,0.0,1.0,1.0,ns
DeepSeek-V3,Gemma-3-27B,Qwen3-32B,2.5,2.75,-0.25,0.0956,0.1484,ns
DeepSeek-V3,Gemma-3-27B,Llama-3.1-8B,2.5,2.107,0.393,0.0036,0.0107,*
DeepSeek-V3,Gemma-3-27B,Llama-3.2-3B,2.5,2.143,0.357,0.0078,0.0208,*
DeepSeek-V3,Gemma-3-27B,Qwen2.5-7B,2.5,1.929,0.571,0.0007,0.0029,**
DeepSeek-V3,Gemma-3-27B,Claude-Sonnet-4.6,2.5,2.679,-0.179,0.2471,0.3369,ns
DeepSeek-V3,Gemma-3-27B,GPT-4.1,2.5,2.464,0.036,0.7122,0.763,ns
DeepSeek-V3,Qwen3-32B,Llama-3.1-8B,2.75,2.107,0.643,0.0,0.0,***
DeepSeek-V3,Qwen3-32B,Llama-3.2-3B,2.75,2.143,0.607,0.0,0.0001,***
DeepSeek-V3,Qwen3-32B,Qwen2.5-7B,2.75,1.929,0.821,0.0,0.0,***
DeepSeek-V3,Qwen3-32B,Claude-Sonnet-4.6,2.75,2.679,0.071,0.6109,0.743,ns
DeepSeek-V3,Qwen3-32B,GPT-4.1,2.75,2.464,0.286,0.0418,0.0697,ns
DeepSeek-V3,Llama-3.1-8B,Llama-3.2-3B,2.107,2.143,-0.036,0.7992,0.8363,ns
DeepSeek-V3,Llama-3.1-8B,Qwen2.5-7B,2.107,1.929,0.179,0.6381,0.7557,ns
DeepSeek-V3,Llama-3.1-8B,Claude-Sonnet-4.6,2.107,2.679,-0.571,0.0,0.0003,***
DeepSeek-V3,Llama-3.1-8B,GPT-4.1,2.107,2.464,-0.357,0.011,0.0235,*
DeepSeek-V3,Llama-3.2-3B,Qwen2.5-7B,2.143,1.929,0.214,0.4686,0.6025,ns
DeepSeek-V3,Llama-3.2-3B,Claude-Sonnet-4.6,2.143,2.679,-0.536,0.0001,0.0007,***
DeepSeek-V3,Llama-3.2-3B,GPT-4.1,2.143,2.464,-0.321,0.022,0.0431,*
DeepSeek-V3,Qwen2.5-7B,Claude-Sonnet-4.6,1.929,2.679,-0.75,0.0,0.0,***
DeepSeek-V3,Qwen2.5-7B,GPT-4.1,1.929,2.464,-0.536,0.0026,0.0089,**
DeepSeek-V3,Claude-Sonnet-4.6,GPT-4.1,2.679,2.464,0.214,0.1269,0.1842,ns
Kimi-K2,DeepSeek-V3-685B,Kimi-K2-1T,2.857,2.393,0.464,0.0007,0.002,**
Kimi-K2,DeepSeek-V3-685B,Llama-3.3-70B,2.857,2.571,0.286,0.038,0.0713,ns
Kimi-K2,DeepSeek-V3-685B,Gemma-3-27B,2.857,2.643,0.214,0.1568,0.2276,ns
Kimi-K2,DeepSeek-V3-685B,Qwen3-32B,2.857,2.893,-0.036,0.7954,0.8522,ns
Kimi-K2,DeepSeek-V3-685B,Llama-3.1-8B,2.857,2.143,0.714,0.0,0.0,***
Kimi-K2,DeepSeek-V3-685B,Llama-3.2-3B,2.857,2.138,0.719,0.0,0.0,***
Kimi-K2,DeepSeek-V3-685B,Qwen2.5-7B,2.857,2.036,0.821,0.0,0.0,***
Kimi-K2,DeepSeek-V3-685B,Claude-Sonnet-4.6,2.857,2.75,0.107,0.4366,0.5457,ns
Kimi-K2,DeepSeek-V3-685B,GPT-4.1,2.857,2.821,0.036,0.7954,0.8522,ns
Kimi-K2,Kimi-K2-1T,Llama-3.3-70B,2.393,2.571,-0.179,0.1947,0.2656,ns
Kimi-K2,Kimi-K2-1T,Gemma-3-27B,2.393,2.643,-0.25,0.0505,0.0875,ns
Kimi-K2,Kimi-K2-1T,Qwen3-32B,2.393,2.893,-0.5,0.0003,0.0008,***
Kimi-K2,Kimi-K2-1T,Llama-3.1-8B,2.393,2.143,0.25,0.0695,0.1117,ns
Kimi-K2,Kimi-K2-1T,Llama-3.2-3B,2.393,2.138,0.255,0.0499,0.0875,ns
Kimi-K2,Kimi-K2-1T,Qwen2.5-7B,2.393,2.036,0.357,0.0796,0.1236,ns
Kimi-K2,Kimi-K2-1T,Claude-Sonnet-4.6,2.393,2.75,-0.357,0.0095,0.0194,*
Kimi-K2,Kimi-K2-1T,GPT-4.1,2.393,2.821,-0.429,0.0019,0.0042,**
Kimi-K2,Llama-3.3-70B,Gemma-3-27B,2.571,2.643,-0.071,0.5101,0.62,ns
Kimi-K2,Llama-3.3-70B,Qwen3-32B,2.571,2.893,-0.321,0.0196,0.0383,*
Kimi-K2,Llama-3.3-70B,Llama-3.1-8B,2.571,2.143,0.429,0.0019,0.0042,**
Kimi-K2,Llama-3.3-70B,Llama-3.2-3B,2.571,2.138,0.434,0.0011,0.0028,**
Kimi-K2,Llama-3.3-70B,Qwen2.5-7B,2.571,2.036,0.536,0.0023,0.0049,**
Kimi-K2,Llama-3.3-70B,Claude-Sonnet-4.6,2.571,2.75,-0.179,0.1947,0.2656,ns
Kimi-K2,Llama-3.3-70B,GPT-4.1,2.571,2.821,-0.25,0.0695,0.1117,ns
Kimi-K2,Gemma-3-27B,Qwen3-32B,2.643,2.893,-0.25,0.0939,0.1408,ns
Kimi-K2,Gemma-3-27B,Llama-3.1-8B,2.643,2.143,0.5,0.0002,0.0005,***
Kimi-K2,Gemma-3-27B,Llama-3.2-3B,2.643,2.138,0.505,0.0001,0.0003,***
Kimi-K2,Gemma-3-27B,Qwen2.5-7B,2.643,2.036,0.607,0.0002,0.0006,***
Kimi-K2,Gemma-3-27B,Claude-Sonnet-4.6,2.643,2.75,-0.107,0.5235,0.62,ns
Kimi-K2,Gemma-3-27B,GPT-4.1,2.643,2.821,-0.179,0.2474,0.3275,ns
Kimi-K2,Qwen3-32B,Llama-3.1-8B,2.893,2.143,0.75,0.0,0.0,***
Kimi-K2,Qwen3-32B,Llama-3.2-3B,2.893,2.138,0.755,0.0,0.0,***
Kimi-K2,Qwen3-32B,Qwen2.5-7B,2.893,2.036,0.857,0.0,0.0,***
Kimi-K2,Qwen3-32B,Claude-Sonnet-4.6,2.893,2.75,0.143,0.2996,0.3852,ns
Kimi-K2,Qwen3-32B,GPT-4.1,2.893,2.821,0.071,0.604,0.6795,ns
Kimi-K2,Llama-3.1-8B,Llama-3.2-3B,2.143,2.138,0.005,0.8841,0.9042,ns
Kimi-K2,Llama-3.1-8B,Qwen2.5-7B,2.143,2.036,0.107,0.9502,0.9502,ns
Kimi-K2,Llama-3.1-8B,Claude-Sonnet-4.6,2.143,2.75,-0.607,0.0,0.0,***
Kimi-K2,Llama-3.1-8B,GPT-4.1,2.143,2.821,-0.679,0.0,0.0,***
Kimi-K2,Llama-3.2-3B,Qwen2.5-7B,2.138,2.036,0.102,0.8351,0.8739,ns
Kimi-K2,Llama-3.2-3B,Claude-Sonnet-4.6,2.138,2.75,-0.612,0.0,0.0,***
Kimi-K2,Llama-3.2-3B,GPT-4.1,2.138,2.821,-0.684,0.0,0.0,***
Kimi-K2,Qwen2.5-7B,Claude-Sonnet-4.6,2.036,2.75,-0.714,0.0,0.0001,***
Kimi-K2,Qwen2.5-7B,GPT-4.1,2.036,2.821,-0.786,0.0,0.0,***
